धातुः	धातुपाठे	अर्थः	गणः	संख्या	लकारः	पदम्	प्र॰एक॰	प्र॰द्वि॰	प्र॰बहु॰	म॰एक॰	म॰द्वि॰	म॰बहु॰	उ॰एक॰	उ॰द्वि॰	उ॰बहु॰
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	लट्	परस्मै॰	भवति	भवतः	भवन्ति	भवसि	भवथः	भवथ	भवामि	भवावः	भवामः
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	लिट्	परस्मै॰	बभूव	बभूवतुः	बभूवुः	बभूविथ	बभूवथुः	बभूव	बभूव	बभूविव	बभूविम
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	लुट्	परस्मै॰	भविता	भवितारौ	भवितारः	भवितासि	भवितास्थः	भवितास्थ	भवितास्मि	भवितास्वः	भवितास्मः
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	लृट्	परस्मै॰	भविष्यति	भविष्यतः	भविष्यन्ति	भविष्यसि	भविष्यथः	भविष्यथ	भविष्यामि	भविष्यावः	भविष्यामः
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	लोट्	परस्मै॰	भवतात्,भवतु	भवताम्	भवन्तु	भवतात्,भव	भवतम्	भवत	भवानि	भवाव	भवाम
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	लङ्	परस्मै॰	अभवत्	अभवताम्	अभवन्	अभवः	अभवतम्	अभवत	अभवम्	अभवाव	अभवाम
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	विधिलिङ्	परस्मै॰	भवेत्	भवेताम्	भवेयुः	भवेः	भवेतम्	भवेत	भवेयम्	भवेव	भवेम
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	आशीर्लिङ्	परस्मै॰	भूयात्	भूयास्ताम्	भूयासुः	भूयाः	भूयास्तम्	भूयास्त	भूयासम्	भूयास्व	भूयास्म
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	लुङ्	परस्मै॰	अभूत्	अभूताम्	अभूवन्	अभूः	अभूतम्	अभूत	अभूवम्	अभूव	अभूम
भू	भू॑	सत्तायाम्	भ्वादि	01.0001	लृङ्	परस्मै॰	अभविष्यत्	अभविष्यताम्	अभविष्यन्	अभविष्यः	अभविष्यतम्	अभविष्यत	अभविष्यम्	अभविष्याव	अभविष्याम
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	लट्	आत्मने॰	एधते	एधेते	एधन्ते	एधसे	एधेथे	एधध्वे	एधे	एधावहे	एधामहे
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	लिट्	आत्मने॰	एधाञ्चक्रे	एधाञ्चक्राते	एधाञ्चक्रिरे	एधाञ्चकृषे	एधाञ्चक्राथे	एधाञ्चकृढ्वे	एधाञ्चक्रे	एधाञ्चकृवहे	एधाञ्चकृमहे
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	लुट्	आत्मने॰	एधिता	एधितारौ	एधितारः	एधितासे	एधितासाथे	एधिताध्वे	एधिताहे	एधितास्वहे	एधितास्महे
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	लृट्	आत्मने॰	एधिष्यते	एधिष्येते	एधिष्यन्ते	एधिष्यसे	एधिष्येथे	एधिष्यध्वे	एधिष्ये	एधिष्यावहे	एधिष्यामहे
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	लोट्	आत्मने॰	एधताम्	एधेताम्	एधन्ताम्	एधस्व	एधेथाम्	एधध्वम्	एधै	एधावहै	एधामहै
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	लङ्	आत्मने॰	ऐधत	ऐधेताम्	ऐधन्त	ऐधथाः	ऐधेथाम्	ऐधध्वम्	ऐधे	ऐधावहि	ऐधामहि
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	विधिलिङ्	आत्मने॰	एधेत	एधेयाताम्	एधेरन्	एधेथाः	एधेयाथाम्	एधेध्वम्	एधेय	एधेवहि	एधेमहि
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	आशीर्लिङ्	आत्मने॰	एधिषीष्ट	एधिषीयास्ताम्	एधिषीरन्	एधिषीष्ठाः	एधिषीयास्थाम्	एधिषीध्वम्	एधिषीय	एधिषीवहि	एधिषीमहि
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	लुङ्	आत्मने॰	ऐधिष्ट	ऐधिषाताम्	ऐधिषत	ऐधिष्ठाः	ऐधिषाथाम्	ऐधिध्वम्	ऐधिषि	ऐधिष्वहि	ऐधिष्महि
एध्	ए॑धँ॒	वृद्धौ	भ्वादि	01.0002	लृङ्	आत्मने॰	ऐधिष्यत	ऐधिष्येताम्	ऐधिष्यन्त	ऐधिष्यथाः	ऐधिष्येथाम्	ऐधिष्यध्वम्	ऐधिष्ये	ऐधिष्यावहि	ऐधिष्यामहि
स्पर्ध्	स्प॑र्धँ॒	सङ्घर्षे	भ्वादि	01.0003	लट्	आत्मने॰	स्पर्धते	स्पर्धेते	स्पर्धन्ते	स्पर्धसे	स्पर्धेथे	स्पर्धध्वे	स्पर्धे	स्पर्धावहे	स्पर्धामहे
स्पर्ध्	स्प॑र्धँ॒	सङ्घर्षे	भ्वादि	01.0003	लिट्	आत्मने॰	पस्पर्धे	पस्पर्धाते	पस्पर्धिरे	पस्पर्धिषे	पस्पर्धाथे	पस्पर्धिध्वे	पस्पर्धे	पस्पर्धिवहे	पस्पर्धिमहे
स्पर्ध्	स्प॑र्धँ॒	सङ्घर्षे	भ्वादि	01.0003	लुट्	आत्मने॰	स्पर्धिता	स्पर्धितारौ	स्पर्धितारः	स्पर्धितासे	स्पर्धितासाथे	स्पर्धिताध्वे	स्पर्धिताहे	स्पर्धितास्वहे	स्पर्धितास्महे
स्पर्ध्	स्प॑र्धँ॒	सङ्घर्षे	भ्वादि	01.0003	लृट्	आत्मने॰	स्पर्धिष्यते	स्पर्धिष्येते	स्पर्धिष्यन्ते	स्पर्धिष्यसे	स्पर्धिष्येथे	स्पर्धिष्यध्वे	स्पर्धिष्ये	स्पर्धिष्यावहे	स्पर्धिष्यामहे
स्पर्ध्	स्प॑र्धँ॒	सङ्घर्षे	भ्वादि	01.0003	लोट्	आत्मने॰	स्पर्धताम्	स्पर्धेताम्	स्पर्धन्ताम्	स्पर्धस्व	स्पर्धेथाम्	स्पर्धध्वम्	स्पर्धै	स्पर्धावहै	स्पर्धामहै
स्पर्ध्	स्प॑र्धँ॒	सङ्घर्षे	भ्वादि	01.0003	लङ्	आत्मने॰	अस्पर्धत	अस्पर्धेताम्	अस्पर्धन्त	अस्पर्धथाः	अस्पर्धेथाम्	अस्पर्धध्वम्	अस्पर्धे	अस्पर्धावहि	अस्पर्धामहि
स्पर्ध्	स्प॑र्धँ॒	सङ्घर्षे	भ्वादि	01.0003	विधिलिङ्	आत्मने॰	स्पर्धेत	स्पर्धेयाताम्	स्पर्धेरन्	स्पर्धेथाः	स्पर्धेयाथाम्	स्पर्धेध्वम्	स्पर्धेय	स्पर्धेवहि	स्पर्धेमहि
स्पर्ध्	स्प॑र्धँ॒	सङ्घर्षे	भ्वादि	01.0003	आशीर्लिङ्	आत्मने॰	स्पर्धिषीष्ट	स्पर्धिषीयास्ताम्	स्पर्धिषीरन्	स्पर्धिषीष्ठाः	स्पर्धिषीयास्थाम्	स्पर्धिषीध्वम्	स्पर्धिषीय	स्पर्धिषीवहि	स्पर्धिषीमहि
स्पर्ध्	स्प॑र्धँ॒	सङ्घर्षे	भ्वादि	01.0003	लुङ्	आत्मने॰	अस्पर्धिष्ट	अस्पर्धिषाताम्	अस्पर्धिषत	अस्पर्धिष्ठाः	अस्पर्धिषाथाम्	अस्पर्धिध्वम्	अस्पर्धिषि	अस्पर्धिष्वहि	अस्पर्धिष्महि
स्पर्ध्	स्प॑र्धँ॒	सङ्घर्षे	भ्वादि	01.0003	लृङ्	आत्मने॰	अस्पर्धिष्यत	अस्पर्धिष्येताम्	अस्पर्धिष्यन्त	अस्पर्धिष्यथाः	अस्पर्धिष्येथाम्	अस्पर्धिष्यध्वम्	अस्पर्धिष्ये	अस्पर्धिष्यावहि	अस्पर्धिष्यामहि
गाध्	गा॑धृँ॒	प्रतिष्ठालिप्सयोर्ग्रन्थे च	भ्वादि	01.0004	लट्	आत्मने॰	गाधते	गाधेते	गाधन्ते	गाधसे	गाधेथे	गाधध्वे	गाधे	गाधावहे	गाधामहे
गाध्	गा॑धृँ॒	प्रतिष्ठालिप्सयोर्ग्रन्थे च	भ्वादि	01.0004	लिट्	आत्मने॰	जगाधे	जगाधाते	जगाधिरे	जगाधिषे	जगाधाथे	जगाधिध्वे	जगाधे	जगाधिवहे	जगाधिमहे
गाध्	गा॑धृँ॒	प्रतिष्ठालिप्सयोर्ग्रन्थे च	भ्वादि	01.0004	लुट्	आत्मने॰	गाधिता	गाधितारौ	गाधितारः	गाधितासे	गाधितासाथे	गाधिताध्वे	गाधिताहे	गाधितास्वहे	गाधितास्महे
गाध्	गा॑धृँ॒	प्रतिष्ठालिप्सयोर्ग्रन्थे च	भ्वादि	01.0004	लृट्	आत्मने॰	गाधिष्यते	गाधिष्येते	गाधिष्यन्ते	गाधिष्यसे	गाधिष्येथे	गाधिष्यध्वे	गाधिष्ये	गाधिष्यावहे	गाधिष्यामहे
गाध्	गा॑धृँ॒	प्रतिष्ठालिप्सयोर्ग्रन्थे च	भ्वादि	01.0004	लोट्	आत्मने॰	गाधताम्	गाधेताम्	गाधन्ताम्	गाधस्व	गाधेथाम्	गाधध्वम्	गाधै	गाधावहै	गाधामहै
गाध्	गा॑धृँ॒	प्रतिष्ठालिप्सयोर्ग्रन्थे च	भ्वादि	01.0004	लङ्	आत्मने॰	अगाधत	अगाधेताम्	अगाधन्त	अगाधथाः	अगाधेथाम्	अगाधध्वम्	अगाधे	अगाधावहि	अगाधामहि
गाध्	गा॑धृँ॒	प्रतिष्ठालिप्सयोर्ग्रन्थे च	भ्वादि	01.0004	विधिलिङ्	आत्मने॰	गाधेत	गाधेयाताम्	गाधेरन्	गाधेथाः	गाधेयाथाम्	गाधेध्वम्	गाधेय	गाधेवहि	गाधेमहि
गाध्	गा॑धृँ॒	प्रतिष्ठालिप्सयोर्ग्रन्थे च	भ्वादि	01.0004	आशीर्लिङ्	आत्मने॰	गाधिषीष्ट	गाधिषीयास्ताम्	गाधिषीरन्	गाधिषीष्ठाः	गाधिषीयास्थाम्	गाधिषीध्वम्	गाधिषीय	गाधिषीवहि	गाधिषीमहि
गाध्	गा॑धृँ॒	प्रतिष्ठालिप्सयोर्ग्रन्थे च	भ्वादि	01.0004	लुङ्	आत्मने॰	अगाधिष्ट	अगाधिषाताम्	अगाधिषत	अगाधिष्ठाः	अगाधिषाथाम्	अगाधिध्वम्	अगाधिषि	अगाधिष्वहि	अगाधिष्महि
गाध्	गा॑धृँ॒	प्रतिष्ठालिप्सयोर्ग्रन्थे च	भ्वादि	01.0004	लृङ्	आत्मने॰	अगाधिष्यत	अगाधिष्येताम्	अगाधिष्यन्त	अगाधिष्यथाः	अगाधिष्येथाम्	अगाधिष्यध्वम्	अगाधिष्ये	अगाधिष्यावहि	अगाधिष्यामहि
बाध्	बा॑धृँ॒	लोडने विलोडने	भ्वादि	01.0005	लट्	आत्मने॰	बाधते	बाधेते	बाधन्ते	बाधसे	बाधेथे	बाधध्वे	बाधे	बाधावहे	बाधामहे
बाध्	बा॑धृँ॒	लोडने विलोडने	भ्वादि	01.0005	लिट्	आत्मने॰	बबाधे	बबाधाते	बबाधिरे	बबाधिषे	बबाधाथे	बबाधिध्वे	बबाधे	बबाधिवहे	बबाधिमहे
बाध्	बा॑धृँ॒	लोडने विलोडने	भ्वादि	01.0005	लुट्	आत्मने॰	बाधिता	बाधितारौ	बाधितारः	बाधितासे	बाधितासाथे	बाधिताध्वे	बाधिताहे	बाधितास्वहे	बाधितास्महे
बाध्	बा॑धृँ॒	लोडने विलोडने	भ्वादि	01.0005	लृट्	आत्मने॰	बाधिष्यते	बाधिष्येते	बाधिष्यन्ते	बाधिष्यसे	बाधिष्येथे	बाधिष्यध्वे	बाधिष्ये	बाधिष्यावहे	बाधिष्यामहे
बाध्	बा॑धृँ॒	लोडने विलोडने	भ्वादि	01.0005	लोट्	आत्मने॰	बाधताम्	बाधेताम्	बाधन्ताम्	बाधस्व	बाधेथाम्	बाधध्वम्	बाधै	बाधावहै	बाधामहै
बाध्	बा॑धृँ॒	लोडने विलोडने	भ्वादि	01.0005	लङ्	आत्मने॰	अबाधत	अबाधेताम्	अबाधन्त	अबाधथाः	अबाधेथाम्	अबाधध्वम्	अबाधे	अबाधावहि	अबाधामहि
बाध्	बा॑धृँ॒	लोडने विलोडने	भ्वादि	01.0005	विधिलिङ्	आत्मने॰	बाधेत	बाधेयाताम्	बाधेरन्	बाधेथाः	बाधेयाथाम्	बाधेध्वम्	बाधेय	बाधेवहि	बाधेमहि
बाध्	बा॑धृँ॒	लोडने विलोडने	भ्वादि	01.0005	आशीर्लिङ्	आत्मने॰	बाधिषीष्ट	बाधिषीयास्ताम्	बाधिषीरन्	बाधिषीष्ठाः	बाधिषीयास्थाम्	बाधिषीध्वम्	बाधिषीय	बाधिषीवहि	बाधिषीमहि
बाध्	बा॑धृँ॒	लोडने विलोडने	भ्वादि	01.0005	लुङ्	आत्मने॰	अबाधिष्ट	अबाधिषाताम्	अबाधिषत	अबाधिष्ठाः	अबाधिषाथाम्	अबाधिध्वम्	अबाधिषि	अबाधिष्वहि	अबाधिष्महि
बाध्	बा॑धृँ॒	लोडने विलोडने	भ्वादि	01.0005	लृङ्	आत्मने॰	अबाधिष्यत	अबाधिष्येताम्	अबाधिष्यन्त	अबाधिष्यथाः	अबाधिष्येथाम्	अबाधिष्यध्वम्	अबाधिष्ये	अबाधिष्यावहि	अबाधिष्यामहि
नाध्	ना॑धृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0006	लट्	आत्मने॰	नाधते	नाधेते	नाधन्ते	नाधसे	नाधेथे	नाधध्वे	नाधे	नाधावहे	नाधामहे
नाध्	ना॑धृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0006	लिट्	आत्मने॰	ननाधे	ननाधाते	ननाधिरे	ननाधिषे	ननाधाथे	ननाधिध्वे	ननाधे	ननाधिवहे	ननाधिमहे
नाध्	ना॑धृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0006	लुट्	आत्मने॰	नाधिता	नाधितारौ	नाधितारः	नाधितासे	नाधितासाथे	नाधिताध्वे	नाधिताहे	नाधितास्वहे	नाधितास्महे
नाध्	ना॑धृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0006	लृट्	आत्मने॰	नाधिष्यते	नाधिष्येते	नाधिष्यन्ते	नाधिष्यसे	नाधिष्येथे	नाधिष्यध्वे	नाधिष्ये	नाधिष्यावहे	नाधिष्यामहे
नाध्	ना॑धृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0006	लोट्	आत्मने॰	नाधताम्	नाधेताम्	नाधन्ताम्	नाधस्व	नाधेथाम्	नाधध्वम्	नाधै	नाधावहै	नाधामहै
नाध्	ना॑धृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0006	लङ्	आत्मने॰	अनाधत	अनाधेताम्	अनाधन्त	अनाधथाः	अनाधेथाम्	अनाधध्वम्	अनाधे	अनाधावहि	अनाधामहि
नाध्	ना॑धृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0006	विधिलिङ्	आत्मने॰	नाधेत	नाधेयाताम्	नाधेरन्	नाधेथाः	नाधेयाथाम्	नाधेध्वम्	नाधेय	नाधेवहि	नाधेमहि
नाध्	ना॑धृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0006	आशीर्लिङ्	आत्मने॰	नाधिषीष्ट	नाधिषीयास्ताम्	नाधिषीरन्	नाधिषीष्ठाः	नाधिषीयास्थाम्	नाधिषीध्वम्	नाधिषीय	नाधिषीवहि	नाधिषीमहि
नाध्	ना॑धृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0006	लुङ्	आत्मने॰	अनाधिष्ट	अनाधिषाताम्	अनाधिषत	अनाधिष्ठाः	अनाधिषाथाम्	अनाधिध्वम्	अनाधिषि	अनाधिष्वहि	अनाधिष्महि
नाध्	ना॑धृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0006	लृङ्	आत्मने॰	अनाधिष्यत	अनाधिष्येताम्	अनाधिष्यन्त	अनाधिष्यथाः	अनाधिष्येथाम्	अनाधिष्यध्वम्	अनाधिष्ये	अनाधिष्यावहि	अनाधिष्यामहि
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	लट्	परस्मै॰	नाथति	नाथतः	नाथन्ति	नाथसि	नाथथः	नाथथ	नाथामि	नाथावः	नाथामः
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	लट्	आत्मने॰	नाथते	नाथेते	नाथन्ते	नाथसे	नाथेथे	नाथध्वे	नाथे	नाथावहे	नाथामहे
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	लिट्	परस्मै॰	ननाथ	ननाथतुः	ननाथुः	ननाथिथ	ननाथथुः	ननाथ	ननाथ	ननाथिव	ननाथिम
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	लिट्	आत्मने॰	ननाथे	ननाथाते	ननाथिरे	ननाथिषे	ननाथाथे	ननाथिध्वे	ननाथे	ननाथिवहे	ननाथिमहे
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	लुट्	परस्मै॰	नाथिता	नाथितारौ	नाथितारः	नाथितासि	नाथितास्थः	नाथितास्थ	नाथितास्मि	नाथितास्वः	नाथितास्मः
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	लुट्	आत्मने॰	नाथिता	नाथितारौ	नाथितारः	नाथितासे	नाथितासाथे	नाथिताध्वे	नाथिताहे	नाथितास्वहे	नाथितास्महे
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	लृट्	परस्मै॰	नाथिष्यति	नाथिष्यतः	नाथिष्यन्ति	नाथिष्यसि	नाथिष्यथः	नाथिष्यथ	नाथिष्यामि	नाथिष्यावः	नाथिष्यामः
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	लृट्	आत्मने॰	नाथिष्यते	नाथिष्येते	नाथिष्यन्ते	नाथिष्यसे	नाथिष्येथे	नाथिष्यध्वे	नाथिष्ये	नाथिष्यावहे	नाथिष्यामहे
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	लोट्	परस्मै॰	नाथतु,नाथतात्	नाथताम्	नाथन्तु	नाथ,नाथतात्	नाथतम्	नाथत	नाथानि	नाथाव	नाथाम
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	लोट्	आत्मने॰	नाथताम्	नाथेताम्	नाथन्ताम्	नाथस्व	नाथेथाम्	नाथध्वम्	नाथै	नाथावहै	नाथामहै
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	लङ्	परस्मै॰	अनाथत्	अनाथताम्	अनाथन्	अनाथः	अनाथतम्	अनाथत	अनाथम्	अनाथाव	अनाथाम
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	लङ्	आत्मने॰	अनाथत	अनाथेताम्	अनाथन्त	अनाथथाः	अनाथेथाम्	अनाथध्वम्	अनाथे	अनाथावहि	अनाथामहि
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	विधिलिङ्	परस्मै॰	नाथेत्	नाथेताम्	नाथेयुः	नाथेः	नाथेतम्	नाथेत	नाथेयम्	नाथेव	नाथेम
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	विधिलिङ्	आत्मने॰	नाथेत	नाथेयाताम्	नाथेरन्	नाथेथाः	नाथेयाथाम्	नाथेध्वम्	नाथेय	नाथेवहि	नाथेमहि
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	आशीर्लिङ्	परस्मै॰	नाथ्यात्	नाथ्यास्ताम्	नाथ्यासुः	नाथ्याः	नाथ्यास्तम्	नाथ्यास्त	नाथ्यासम्	नाथ्यास्व	नाथ्यास्म
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	आशीर्लिङ्	आत्मने॰	नाथिषीष्ट	नाथिषीयास्ताम्	नाथिषीरन्	नाथिषीष्ठाः	नाथिषीयास्थाम्	नाथिषीध्वम्	नाथिषीय	नाथिषीवहि	नाथिषीमहि
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	लुङ्	परस्मै॰	अनाथीत्	अनाथिष्टाम्	अनाथिषुः	अनाथीः	अनाथिष्टम्	अनाथिष्ट	अनाथिषम्	अनाथिष्व	अनाथिष्म
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	लुङ्	आत्मने॰	अनाथिष्ट	अनाथिषाताम्	अनाथिषत	अनाथिष्ठाः	अनाथिषाथाम्	अनाथिध्वम्	अनाथिषि	अनाथिष्वहि	अनाथिष्महि
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	लृङ्	परस्मै॰	अनाथिष्यत्	अनाथिष्यताम्	अनाथिष्यन्	अनाथिष्यः	अनाथिष्यतम्	अनाथिष्यत	अनाथिष्यम्	अनाथिष्याव	अनाथिष्याम
नाथ्	ना॑थृँ॒	याच्ञोपतापैश्वर्याशीष्षु	भ्वादि	01.0007	लृङ्	आत्मने॰	अनाथिष्यत	अनाथिष्येताम्	अनाथिष्यन्त	अनाथिष्यथाः	अनाथिष्येथाम्	अनाथिष्यध्वम्	अनाथिष्ये	अनाथिष्यावहि	अनाथिष्यामहि
दध्	द॑धँ॒	धारणे	भ्वादि	01.0008	लट्	आत्मने॰	दधते	दधेते	दधन्ते	दधसे	दधेथे	दधध्वे	दधे	दधावहे	दधामहे
दध्	द॑धँ॒	धारणे	भ्वादि	01.0008	लिट्	आत्मने॰	देधे	देधाते	देधिरे	देधिषे	देधाथे	देधिध्वे	देधे	देधिवहे	देधिमहे
दध्	द॑धँ॒	धारणे	भ्वादि	01.0008	लुट्	आत्मने॰	दधिता	दधितारौ	दधितारः	दधितासे	दधितासाथे	दधिताध्वे	दधिताहे	दधितास्वहे	दधितास्महे
दध्	द॑धँ॒	धारणे	भ्वादि	01.0008	लृट्	आत्मने॰	दधिष्यते	दधिष्येते	दधिष्यन्ते	दधिष्यसे	दधिष्येथे	दधिष्यध्वे	दधिष्ये	दधिष्यावहे	दधिष्यामहे
दध्	द॑धँ॒	धारणे	भ्वादि	01.0008	लोट्	आत्मने॰	दधताम्	दधेताम्	दधन्ताम्	दधस्व	दधेथाम्	दधध्वम्	दधै	दधावहै	दधामहै
दध्	द॑धँ॒	धारणे	भ्वादि	01.0008	लङ्	आत्मने॰	अदधत	अदधेताम्	अदधन्त	अदधथाः	अदधेथाम्	अदधध्वम्	अदधे	अदधावहि	अदधामहि
दध्	द॑धँ॒	धारणे	भ्वादि	01.0008	विधिलिङ्	आत्मने॰	दधेत	दधेयाताम्	दधेरन्	दधेथाः	दधेयाथाम्	दधेध्वम्	दधेय	दधेवहि	दधेमहि
दध्	द॑धँ॒	धारणे	भ्वादि	01.0008	आशीर्लिङ्	आत्मने॰	दधिषीष्ट	दधिषीयास्ताम्	दधिषीरन्	दधिषीष्ठाः	दधिषीयास्थाम्	दधिषीध्वम्	दधिषीय	दधिषीवहि	दधिषीमहि
दध्	द॑धँ॒	धारणे	भ्वादि	01.0008	लुङ्	आत्मने॰	अदधिष्ट	अदधिषाताम्	अदधिषत	अदधिष्ठाः	अदधिषाथाम्	अदधिध्वम्	अदधिषि	अदधिष्वहि	अदधिष्महि
दध्	द॑धँ॒	धारणे	भ्वादि	01.0008	लृङ्	आत्मने॰	अदधिष्यत	अदधिष्येताम्	अदधिष्यन्त	अदधिष्यथाः	अदधिष्येथाम्	अदधिष्यध्वम्	अदधिष्ये	अदधिष्यावहि	अदधिष्यामहि
स्कुन्द्	स्कु॑दिँ॒	आप्रवणे	भ्वादि	01.0009	लट्	आत्मने॰	स्कुन्दते	स्कुन्देते	स्कुन्दन्ते	स्कुन्दसे	स्कुन्देथे	स्कुन्दध्वे	स्कुन्दे	स्कुन्दावहे	स्कुन्दामहे
स्कुन्द्	स्कु॑दिँ॒	आप्रवणे	भ्वादि	01.0009	लिट्	आत्मने॰	चुस्कुन्दे	चुस्कुन्दाते	चुस्कुन्दिरे	चुस्कुन्दिषे	चुस्कुन्दाथे	चुस्कुन्दिध्वे	चुस्कुन्दे	चुस्कुन्दिवहे	चुस्कुन्दिमहे
स्कुन्द्	स्कु॑दिँ॒	आप्रवणे	भ्वादि	01.0009	लुट्	आत्मने॰	स्कुन्दिता	स्कुन्दितारौ	स्कुन्दितारः	स्कुन्दितासे	स्कुन्दितासाथे	स्कुन्दिताध्वे	स्कुन्दिताहे	स्कुन्दितास्वहे	स्कुन्दितास्महे
स्कुन्द्	स्कु॑दिँ॒	आप्रवणे	भ्वादि	01.0009	लृट्	आत्मने॰	स्कुन्दिष्यते	स्कुन्दिष्येते	स्कुन्दिष्यन्ते	स्कुन्दिष्यसे	स्कुन्दिष्येथे	स्कुन्दिष्यध्वे	स्कुन्दिष्ये	स्कुन्दिष्यावहे	स्कुन्दिष्यामहे
स्कुन्द्	स्कु॑दिँ॒	आप्रवणे	भ्वादि	01.0009	लोट्	आत्मने॰	स्कुन्दताम्	स्कुन्देताम्	स्कुन्दन्ताम्	स्कुन्दस्व	स्कुन्देथाम्	स्कुन्दध्वम्	स्कुन्दै	स्कुन्दावहै	स्कुन्दामहै
स्कुन्द्	स्कु॑दिँ॒	आप्रवणे	भ्वादि	01.0009	लङ्	आत्मने॰	अस्कुन्दत	अस्कुन्देताम्	अस्कुन्दन्त	अस्कुन्दथाः	अस्कुन्देथाम्	अस्कुन्दध्वम्	अस्कुन्दे	अस्कुन्दावहि	अस्कुन्दामहि
स्कुन्द्	स्कु॑दिँ॒	आप्रवणे	भ्वादि	01.0009	विधिलिङ्	आत्मने॰	स्कुन्देत	स्कुन्देयाताम्	स्कुन्देरन्	स्कुन्देथाः	स्कुन्देयाथाम्	स्कुन्देध्वम्	स्कुन्देय	स्कुन्देवहि	स्कुन्देमहि
स्कुन्द्	स्कु॑दिँ॒	आप्रवणे	भ्वादि	01.0009	आशीर्लिङ्	आत्मने॰	स्कुन्दिषीष्ट	स्कुन्दिषीयास्ताम्	स्कुन्दिषीरन्	स्कुन्दिषीष्ठाः	स्कुन्दिषीयास्थाम्	स्कुन्दिषीध्वम्	स्कुन्दिषीय	स्कुन्दिषीवहि	स्कुन्दिषीमहि
