लिङ्ग	अन्तिमाक्षरः/ विशेषता	अन्यसंज्ञा	टिप्पनी	संबोधनम्	सुँ	औ	जस्	अम्	औट्	शस्	टा	भ्याम्	भिस्	ङे	भ्यस्	ङसि	ङस्	ओस्	आम्	ङि	सुप्	अङ्गकार्यम् सार्वत्रिकम्	सन्धिकार्याणि	उदाहरणम्
स्त्री	उ			धेनो			धेनूः			धेनूः	धेन्वा			धेन्वै		धेन्वाः देनोः	ङसि-वत्			धेन्वाम् धेनौ				धेनु
स्त्री	ऊ		शेषम् पुम्-वत् । भूः इत्यत्र आक्षेपाः।	वधु	वधुः	वध्वौ	वध्वः			वधूः	वध्वा			वध्वे		वध्वाः	ङसि-वत्			वध्वाम्				वधू
स्त्री	ऋ		शेषम् पितृ-वत्	मातः	माता	मातरौ	मातरः	मातरं	औ-वत्	मातरः							ङसि-वत्							मातृ
स्त्री	क्				दिक् 	दिशौ 	दिशः		औ-वत्	जस्-वत्														दिक्
स्त्री	त्		पुम्-वत्														ङसि-वत्							विद्युत्
स्त्री	न्		शेषम् राजन्-वत्																	सीम्नि सीमनि				सीमन्
स्त्री	प्	नित्यबहुवचनम्					आपः			जस्-वत्			अद्भिः		अद्भ्यः				अपाम्		आप्सु			आप्
स्त्री	स्		पुम्-वत्																					सुमनस्
स्त्री	स्			आशीः	आशीः	आशिषौ	आशिषः	सु-वत्	औ-वत्	जस्-वत्	आशिषा	आशिर्भ्याम्	आशिर्भिः	आशिषे	आशिर्भ्यः	आशिषः	ङसि-वत्	आशिषोः	आशिषाम्	आशिषि	आशीष्षु			आशिस्
स्त्री	स्		शेषः पुम्-वत्		श्रेयः	श्रेयसी	श्रेयांसी																	श्रेयस्
नपुंसक	इ		दधि अपि।	वारि	वारि	वारिणी	वारीणि	सु-वत्	औ-वत्	जस्-वत्	वारिणा	वारिभ्याम्	वारीभिः	वारिणे	वारिभ्यः	वारिणः	ङसि-वत्	वारिणोः	वारिणाम्	वारिणि	वारिषु			वारि वारे
नपुंसक	उ			मधु	मधु	मधुनी	मधूनि	सु-वत्	औ-वत्	जस्-वत्	मधुना	मधुभ्याम्	मधुभिः	मधुने	मधुभ्यः	मधुनः	ङसि-वत्	मधुनोः	मधूनाम्	मधुनि	मधुषु			मधु
नपुंसक	ऋ		शेषम् पुम्-वत्	कर्तृ	कर्तृ	कर्तृणी	कर्तॄणि	सु-वत्	औ-वत्	जस्-वत्	कर्त्रा कर्तृणा			कत्रे कर्तृणे		कर्तुः कर्तृणः	ङसि-वत्	कर्त्रोः कर्तृणोः		कर्तरि कर्तृणि				कर्तृ
नपुंसक	त्		शेषम् पुम्-वत्	जगत्	जगत्	जगती	जगन्ति	सु-वत्	औ-वत्	जस्-वत्														जगत्
नपुंसक	न्		शेषम् पुम्-वत्	नामन् नाम	नाम	नाम्नी नामनी	नामानि	सु-वत्	औ-वत्	जस्-वत्										नाम्नि मामनि				नामन्
